,age,sex
1135,44.6,0
1136,24.8,0
1137,0.1,0
1138,32.8,0
1139,19.8,1
1140,33.9,1
1141,16.9,1
1142,4.2,1
1143,38.5,0
1144,38.8,0
1145,19.7,1
1146,46.0,1
1147,33.7,1
1148,21.5,1
1149,22.8,1
1150,22.8,1
1151,19.6,1
1152,3.4,1
1153,28.8,0
1154,53.7,0
1155,20.6,1
1156,19.8,1
1157,21.5,0
1158,1.7,1
1159,20.2,0
1160,21.3,1
1161,19.8,1
1162,21.0,0
1163,21.3,1
1164,19.5,1
1165,22.0,1
1166,19.5,1
1167,41.6,0
1168,55.3,0
1169,20.6,1
1170,21.6,0
1171,23.6,1
1172,29.0,1
1173,18.9,0
1174,49.7,0
1175,25.6,0
1176,55.0,1
1177,34.0,1
1178,30.8,0
1179,33.7,0
1180,22.9,1
1181,1.5,0
1182,3.6,1
1183,1.6,1
1184,31.6,0
1185,11.2,1
1186,19.2,1
1187,1.1,1
1188,26.6,1
1189,2.3,0
1190,21.6,0
1191,21.6,0
1192,20.7,0
1193,21.7,1
1194,44.7,0
1195,18.7,0
1196,28.6,1
1197,20.7,1
1198,30.7,1
1199,24.7,0
1200,23.1,1
1201,64.7,0
1202,21.3,0
1203,38.2,0
1204,2.2,0
1205,19.1,1
1206,19.2,0
1207,22.0,1
1208,48.4,1
1209,38.6,0
1210,24.6,1
1211,53.6,1
1212,52.9,1
1213,70.2,1
1214,45.6,0
1215,56.6,1
1216,46.6,0
1217,19.4,1
1218,19.2,1
1219,1.2,0
1220,29.9,0
1221,2.2,1
1222,34.8,1
1223,25.6,1
1224,21.6,1
1225,20.8,0
1226,59.7,0
1227,23.7,0
1228,21.7,1
1229,34.4,0
1230,55.7,1
1231,23.2,1
1232,31.6,1
1233,24.4,0
1234,24.6,0
1235,30.1,0
1236,7.1,0
1237,19.6,0
1238,1.7,1
1239,27.4,0
1240,28.8,1
1241,64.5,0
1242,44.2,0
1243,26.6,1
1244,70.2,1
1245,31.7,0
1246,21.4,1
1247,21.6,1
1248,11.6,0
1249,23.3,0
1250,56.6,0
1251,61.7,1
1252,26.4,0
1253,29.6,1
1254,29.6,1
1255,25.3,0
1256,20.4,1
1257,21.1,1
1258,56.6,0
1259,3.3,1
1260,22.8,0
1261,2.0,0
1262,26.9,0
1263,1.6,0
1264,21.2,1
1265,21.6,1
1266,1.6,0
1267,26.6,0
1268,7.5,1
1269,19.3,1
1270,1.9,0
1271,10.8,1
1272,33.2,0
1273,23.1,1
1274,39.7,1
1275,41.7,0
1276,16.8,1
1277,30.7,1
1278,54.6,0
1279,15.7,1
1280,55.3,0
1281,52.1,1
1282,47.6,0
1283,47.7,0
1284,22.2,0
1285,32.6,0
1286,32.7,0
1287,32.7,0
1288,6.1,0
1289,32.9,0
1290,6.1,0
1291,19.6,1
1292,22.7,1
1293,43.2,0
1294,19.7,1
1295,31.6,1
1296,57.6,0
1297,21.7,0
1298,22.1,1
1299,0.1,0
1300,5.1,1
1301,25.6,0
1302,12.1,0
1303,28.6,0
1304,11.2,1
1305,16.6,1
1306,36.8,0
1307,25.7,0
1308,27.7,0
1309,19.7,0
1310,68.2,0
1311,40.6,0
1312,27.1,1
1313,24.1,1
1314,1.9,0
1315,13.4,1
1316,26.6,1
1317,31.3,0
1318,5.9,1
1319,31.7,0
1320,16.4,0
1321,17.4,0
1322,20.7,1
1323,29.5,1
1324,39.0,1
1325,4.4,0
1326,25.6,0
1327,33.2,0
1328,43.7,1
1329,16.7,1
1330,39.0,0
1331,26.7,0
1332,2.9,0
1333,1.3,1
1334,2.6,1
1335,25.5,1
1336,21.6,0
1337,30.0,1
1338,27.8,0
1339,18.4,1
1340,19.4,1
1341,21.8,0
1342,56.4,1
1343,42.4,0
1344,24.6,0
1345,5.6,1
1346,38.0,1
1347,35.1,1
1348,2.4,0
1349,24.6,0
1350,19.3,1
1351,10.0,1
1352,44.8,0
1353,48.8,0
1354,21.3,0
1355,3.3,0
1356,0.2,1
1357,22.6,1
1358,42.4,1
1359,42.7,1
1360,42.3,1
1361,18.7,1
1362,19.8,1
1363,17.1,1
1364,34.8,0
1365,19.6,1
1366,10.7,1
1367,17.1,1
1368,51.6,1
1369,55.7,1
1370,55.5,1
1371,51.6,0
1372,27.7,1
1373,25.5,0
1374,26.6,0
1375,21.7,1
1376,41.4,1
1377,38.6,0
1378,39.6,0
1379,17.3,1
1380,17.7,1
1381,20.3,1
1382,47.9,0
1383,26.6,1
1384,25.6,1
1385,19.1,1
1386,27.6,1
1387,34.6,1
1388,0.2,1
1389,22.7,1
1390,17.8,1
1391,40.6,0
1392,30.0,1
1393,21.0,1
1394,25.9,1
1395,33.3,0
1396,24.5,1
1397,23.9,1
1398,52.3,1
1399,18.7,0
1400,1.1,0
1401,16.8,1
1402,24.0,1
1403,19.9,1
1404,28.8,1
1405,61.9,0
1406,20.7,0
1407,17.6,1
1408,17.9,1
1409,19.4,1
1410,18.6,1
1411,19.6,1
1412,17.8,1
1413,25.5,0
1414,16.8,1
1415,6.6,1
1416,25.6,0
1417,28.5,1
1418,28.3,1
1419,27.7,0
1420,0.5,0
1421,24.8,0
1422,4.8,0
1423,32.4,0
1424,0.1,1
1425,27.7,0
1426,40.6,0
1427,15.9,1
1428,17.7,1
1429,40.8,0
1430,16.0,1
1431,23.8,1
1432,36.6,1
1433,29.6,0
1434,29.6,1
1435,20.6,1
1436,56.6,0
1437,27.7,1
1438,14.6,1
1439,63.8,0
1440,0.5,1
1441,1.7,1
1442,28.6,1
1443,22.6,1
1444,19.1,1
1445,21.9,1
1446,19.9,1
1447,39.3,1
1448,35.6,0
1449,38.1,1
1450,16.7,1
1451,18.9,1
1452,16.3,1
