"","V1","V2"
"1081",29.1,0
"1082",64,0
"1083",41.9,1
"1084",56.6,1
"1085",16.6,1
"1086",18.7,1
"1087",55.6,0
"1088",15.3,1
"1089",24.2,1
"1090",21.7,1
"1091",43.6,0
"1092",50.7,0
"1093",19.9,1
"1094",5.5,0
"1095",52.9,0
"1096",26.6,1
"1097",22.8,1
"1098",33.6,1
"1099",24.7,1
"1100",16.2,0
"1101",62.1,0
"1102",29.6,1
"1103",14.7,1
"1104",19.6,1
"1105",53.8,1
"1106",22.4,1
"1107",4.2,1
"1108",22.4,0
"1109",27.3,1
"1110",30.7,1
"1111",38.3,1
"1112",13.2,0
"1113",18.8,1
"1114",7.1,0
"1115",32.7,0
"1116",9.4,1
"1117",13.3,0
"1118",1.2,1
"1119",26.1,0
"1120",38.9,0
"1121",19.6,1
"1122",0.2,0
"1123",37.7,1
"1124",31.5,0
"1125",53.6,0
"1126",44.3,1
"1127",44.6,1
"1128",66.2,0
"1129",9.6,0
"1130",37.6,0
"1131",68.2,1
"1132",56.7,1
"1133",21.5,0
"1134",41.7,0
"1135",46.6,0
"1136",44.6,0
"1137",24.8,0
"1138",0.1,0
"1139",32.8,0
"1140",19.8,1
"1141",33.9,1
"1142",16.9,1
"1143",4.2,1
"1144",38.5,0
"1145",38.8,0
"1146",19.7,1
"1147",46,1
"1148",33.7,1
"1149",21.5,1
"1150",22.8,1
"1151",22.8,1
"1152",19.6,1
"1153",3.4,1
"1154",28.8,0
"1155",53.7,0
"1156",20.6,1
"1157",19.8,1
"1158",21.5,0
"1159",1.7,1
"1160",20.2,0
"1161",21.3,1
"1162",19.8,1
"1163",21,0
"1164",21.3,1
"1165",19.5,1
"1166",22,1
"1167",19.5,1
"1168",41.6,0
"1169",55.3,0
"1170",20.6,1
"1171",21.6,0
"1172",23.6,1
"1173",29,1
"1174",18.9,0
"1175",49.7,0
"1176",25.6,0
"1177",55,1
"1178",34,1
"1179",30.8,0
"1180",33.7,0
"1181",22.9,1
"1182",1.5,0
"1183",3.6,1
"1184",1.6,1
"1185",31.6,0
"1186",11.2,1
"1187",19.2,1
"1188",1.1,1
"1189",26.6,1
"1190",2.3,0
"1191",21.6,0
"1192",21.6,0
"1193",20.7,0
"1194",21.7,1
"1195",44.7,0
"1196",18.7,0
"1197",28.6,1
"1198",20.7,1
"1199",30.7,1
"1200",24.7,0
"1201",23.1,1
"1202",64.7,0
"1203",21.3,0
"1204",38.2,0
"1205",2.2,0
"1206",19.1,1
"1207",19.2,0
"1208",22,1
"1209",48.4,1
"1210",38.6,0
"1211",24.6,1
"1212",53.6,1
"1213",52.9,1
"1214",70.2,1
"1215",45.6,0
"1216",56.6,1
"1217",46.6,0
"1218",19.4,1
"1219",19.2,1
"1220",1.2,0
"1221",29.9,0
"1222",2.2,1
"1223",34.8,1
"1224",25.6,1
"1225",21.6,1
"1226",20.8,0
"1227",59.7,0
"1228",23.7,0
"1229",21.7,1
"1230",34.4,0
"1231",55.7,1
"1232",23.2,1
"1233",31.6,1
"1234",24.4,0
"1235",24.6,0
"1236",30.1,0
"1237",7.1,0
"1238",19.6,0
"1239",1.7,1
"1240",27.4,0
"1241",28.8,1
"1242",64.5,0
"1243",44.2,0
"1244",26.6,1
"1245",70.2,1
"1246",31.7,0
"1247",21.4,1
"1248",21.6,1
"1249",11.6,0
"1250",23.3,0
"1251",56.6,0
"1252",61.7,1
"1253",26.4,0
"1254",29.6,1
"1255",29.6,1
"1256",25.3,0
"1257",20.4,1
"1258",21.1,1
"1259",56.6,0
"1260",3.3,1
"1261",22.8,0
"1262",2,0
"1263",26.9,0
"1264",1.6,0
"1265",21.2,1
"1266",21.6,1
"1267",1.6,0
"1268",26.6,0
"1269",7.5,1
"1270",19.3,1
"1271",1.9,0
"1272",10.8,1
"1273",33.2,0
"1274",23.1,1
"1275",39.7,1
"1276",41.7,0
"1277",16.8,1
"1278",30.7,1
"1279",54.6,0
